DATE,COIN,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
17/07/2011,BTC-USD,13.71902131,13.74656002,13.02109,13.15937,1310860800,1310947140,13.719,13.74656002,1310866560,13.02109,1310901720,13.15937,1040,34375.47259,458510.1856,34375.47259,458510.1856,34375.47259,458510.1856,34375.47259,458510.1856
18/07/2011,BTC-USD,13.15937,13.8964109,12.51,13.46093645,1310947260,1311033540,13.15997569,13.8964109,1311031920,12.51,1311015420,13.46093645,1093,75896.30774,988903.2412,75896.30774,988903.2412,75896.30774,988903.2412,75896.30774,988903.2412
19/07/2011,BTC-USD,13.46093645,14.68239281,13.46093645,13.86017725,1311033600,1311119940,13.47051,14.68239281,1311037380,13.47051,1311033600,13.86017725,1199,67575.61325,948485.7159,67575.61325,948485.7159,67575.61325,948485.7159,67575.61325,948485.7159
20/07/2011,BTC-USD,13.86017725,13.999925,13.4009,13.71718772,1311120060,1311206340,13.85148386,13.999925,1311126360,13.4009,1311198240,13.71718772,980,23177.89843,317332.2982,23177.89843,317332.2982,23177.89843,317332.2982,23177.89843,317332.2982
21/07/2011,BTC-USD,13.71718772,13.7795,13.43092748,13.60927736,1311206400,1311292740,13.72055652,13.7795,1311223980,13.43092748,1311277140,13.60927736,905,25018.37149,341665.5168,25018.37149,341665.5168,25018.37149,341665.5168,25018.37149,341665.5168
22/07/2011,BTC-USD,13.60927736,13.79414,13.47011,13.69542,1311292920,1311379140,13.61754717,13.79414,1311322920,13.47011,1311299100,13.69542,865,15165.61507,207044.1518,15165.61507,207044.1518,15165.61507,207044.1518,15165.61507,207044.1518
23/07/2011,BTC-USD,13.69542,13.74700003,13.51804534,13.68,1311379200,1311465480,13.69999,13.74700003,1311460500,13.51804534,1311416100,13.68,864,22455.59781,306380.1584,22455.59781,306380.1584,22455.59781,306380.1584,22455.59781,306380.1584
24/07/2011,BTC-USD,13.68,14.09749626,13.6225,13.98001,1311465720,1311551940,13.70466655,14.09749626,1311539580,13.6225,1311468240,13.98001,837,26623.25583,369041.8209,26623.25583,369041.8209,26623.25583,369041.8209,26623.25583,369041.8209
25/07/2011,BTC-USD,13.98001,14.68184986,13.77229684,13.98542063,1311552000,1311638160,13.98001,14.68184986,1311563820,13.77229684,1311561060,13.98542063,1069,31577.95973,448277.1995,31577.95973,448277.1995,31577.95973,448277.1995,31577.95973,448277.1995
26/07/2011,BTC-USD,13.98542063,14.05044,13.81707846,13.88214,1311638520,1311724680,14.01971774,14.05044,1311677580,13.81707846,1311650460,13.88214,850,16793.8556,233585.0839,16793.8556,233585.0839,16793.8556,233585.0839,16793.8556,233585.0839
27/07/2011,BTC-USD,13.88214,14.11717138,13.85218285,13.89110361,1311724800,1311811140,13.88214,14.11717138,1311733020,13.85218285,1311810540,13.89110361,692,11508.66354,160645.5365,11508.66354,160645.5365,11508.66354,160645.5365,11508.66354,160645.5365
28/07/2011,BTC-USD,13.89110361,13.91998,13.31208879,13.49011,1311811260,1311897540,13.81597581,13.91998,1311818460,13.31208879,1311885420,13.49011,814,32738.27076,445690.5798,32738.27076,445690.5798,32738.27076,445690.5798,32738.27076,445690.5798
